Knowledge Base,Question,Option 1,Option 2,Actual Answer,Bit Representation,Opt1GenderFeature,Opt2GenderFeature 
bee landed on flower because it had pollen. ,what does it refer to? ,it refers to bee ,it refers to flower ,flower ,1 ,bee ,flower ,1 ,1  
amazon's kindle fire may surpass apple's ipad because they offer a very competitive low price. ,what does they refer to? ,they refers to amazon ,they refers to apple ,amazon ,0 ,amazon ,apple ,1 ,1 
amazon's kindle fire may surpass apple's ipad because they offer a very competitive low price. ,what offer a very competitive low price? ,amazon offer a very competitive low price ,apple offer a very competitive low price ,amazon ,0 ,amazon ,apple ,1 ,1 
amazon's kindle fire may surpass apple's ipad because they are quite expensive for providing a similar product. ,what does they refer to? ,they refers to amazon ,they refers to apple ,apple ,1 ,amazon ,apple ,1 ,1 
amazon's kindle fire may surpass apple's ipad because they are quite expensive for providing a similar product. ,what are quite expensive for providing a similar product? ,amazon are quite expensive for providing a similar product ,apple are quite expensive for providing a similar product ,apple ,1 ,amazon ,apple ,1 ,1 
wall street was bailed out by government because they wanted to prevent an economic collapse. ,what does they refer to? ,they refers to wall street ,they refers to government ,government ,1 ,wall street ,government ,1 ,1 
wall street was bailed out by government because they wanted to prevent an economic collapse. ,what wanted to prevent an economic collapse? ,wall street wanted to prevent an economic collapse ,government wanted to prevent an economic collapse ,government ,1 ,wall street ,government ,1 ,1 
wall street was bailed out by government because they were on verge of collapsing. ,what does they refer to? ,they refers to wall street ,they refers to government ,wall street ,0 ,wall street ,government ,1 ,1 
wall street was bailed out by government because they were on verge of collapsing. ,what were on verge of collapsing? ,wall street were on verge of collapsing ,government were on verge of collapsing ,wall street ,0 ,wall street ,government ,1 ,1 
stargate atlantis was replaced by stargate universe since they were not doing very well in ratings. ,what does they refer to? ,they refers to stargate atlantis ,they refers to stargate universe ,stargate atlantis ,0 ,stargate atlantis ,stargate universe ,1 ,1 
stargate atlantis was replaced by stargate universe since they were not doing very well in ratings. ,what were not doing very well in ratings? ,stargate atlantis were not doing very well in ratings ,stargate universe were not doing very well in ratings ,stargate atlantis ,0 ,stargate atlantis ,stargate universe ,1 ,1 
stargate atlantis was replaced by stargate universe since they were hoping that this show would do better in ratings. ,what does they refer to? ,they refers to stargate atlantis ,they refers to stargate universe ,stargate universe ,1 ,stargate atlantis ,stargate universe ,1 ,1 
stargate atlantis was replaced by stargate universe since they were hoping that this show would do better in ratings. ,what were hoping that this show would do better in ratings? ,stargate atlantis were hoping that this show would do better in ratings ,stargate universe were hoping that this show would do better in ratings ,stargate universe ,1 ,stargate atlantis ,stargate universe ,1 ,1 
"conan o'brien replaced jay leno as host of late night, however, he was soon removed from that timeslot due to him coming back. ",what does he refer to? ,he refers to conan o'brien ,he refers to jay leno ,conan o'brien ,0 ,conan o'brien ,jay leno ,1 ,1 
"conan o'brien replaced jay leno as host of late night, however, he was soon removed from that timeslot due to him coming back. ",what was soon removed from that timeslot due to him coming back? ,conan o'brien was soon removed from that timeslot due to him coming back ,jay leno was soon removed from that timeslot due to him coming back ,conan o'brien ,0 ,conan o'brien ,jay leno ,1 ,1 
"conan o'brien replaced jay leno as host of late night, however, he was soon asked to come back and have his previous time slot. ",what does he refer to? ,he refers to conan o'brien ,he refers to jay leno ,jay leno ,1 ,conan o'brien ,jay leno ,1 ,1 
"conan o'brien replaced jay leno as host of late night, however, he was soon asked to come back and have his previous time slot. ",what was soon asked to come back and have his previous time slot? ,conan o'brien was soon asked to come back and have his previous time slot ,jay leno was soon asked to come back and have his previous time slot ,jay leno ,1 ,conan o'brien ,jay leno ,1 ,1 
jackie chan learned some things from watching bruce lee because he was a popular kung fu actor in past. ,what does he refer to? ,he refers to jackie chan ,he refers to bruce lee ,jackie chan ,0 ,jackie chan ,bruce lee ,1 ,1 
jackie chan learned some things from watching bruce lee because he was a popular kung fu actor in past. ,what was a popular kung fu actor in past? ,jackie chan was a popular kung fu actor in past ,bruce lee was a popular kung fu actor in past ,jackie chan ,0 ,jackie chan ,bruce lee ,1 ,1 
jackie chan learned some things from watching bruce lee because he could watch his acting from past. ,what does he refer to? ,he refers to jackie chan ,he refers to bruce lee ,bruce lee ,1 ,jackie chan ,bruce lee ,1 ,1 
jackie chan learned some things from watching bruce lee because he could watch his acting from past. ,what could watch his acting from past? ,jackie chan could watch his acting from past ,bruce lee could watch his acting from past ,bruce lee ,1 ,jackie chan ,bruce lee ,1 ,1 
boy scouts were able to raise more money for charity over girl scouts since they had a very active fund raising schedule. ,what does they refer to? ,they refers to boy scouts ,they refers to girl scouts ,boy scouts ,0 ,boy scouts ,girl scouts ,1 ,1 
boy scouts were able to raise more money for charity over girl scouts since they had a very active fund raising schedule. ,what had a very active fund raising schedule? ,boy scouts had a very active fund raising schedule ,girl scouts had a very active fund raising schedule ,boy scouts ,0 ,boy scouts ,girl scouts ,1 ,1 
boy scouts were able to raise more money for charity over girl scouts since they were not able to raise funds as actively. ,what does they refer to? ,they refers to boy scouts ,they refers to girl scouts ,girl scouts ,1 ,boy scouts ,girl scouts ,1 ,1 
boy scouts were able to raise more money for charity over girl scouts since they were not able to raise funds as actively. ,what were not able to raise funds as actively? ,boy scouts were not able to raise funds as actively ,girl scouts were not able to raise funds as actively ,girl scouts ,1 ,boy scouts ,girl scouts ,1 ,1 
police arrested criminals since they break law. ,what does they refer to? ,they refers to police ,they refers to criminals ,criminals ,1 ,police ,criminals ,1 ,1 
police arrested criminals since they break law. ,what break law? ,police break law ,criminals break law ,criminals ,1 ,police ,criminals ,1 ,1 
police arrested criminals since they enforce law. ,what does they refer to? ,they refers to police ,they refers to criminals ,police ,0 ,police ,criminals ,1 ,1 
police arrested criminals since they enforce law. ,what enforce law? ,police enforce law ,criminals enforce law ,police ,0 ,police ,criminals ,1 ,1 
parents grounded children since they demanded obedience. ,what does they refer to? ,they refers to parents ,they refers to children ,parents ,0 ,parents ,children ,1 ,1 
parents grounded children since they demanded obedience. ,what demanded obedience? ,parents demanded obedience ,children demanded obedience ,parents ,0 ,parents ,children ,1 ,1 
parents grounded children since they were disobedient. ,what does they refer to? ,they refers to parents ,they refers to children ,children ,1 ,parents ,children ,1 ,1 
parents grounded children since they were disobedient. ,what were disobedient? ,parents were disobedient ,children were disobedient ,children ,1 ,parents ,children ,1 ,1 
conservatives differ from democrats since they normally resist change. ,what does they refer to? ,they refers to conservatives ,they refers to democrats ,conservatives ,0 ,conservatives ,democrats ,1 ,1 
conservatives differ from democrats since they normally resist change. ,what normally resist change? ,conservatives normally resist change ,democrats normally resist change ,conservatives ,0 ,conservatives ,democrats ,1 ,1 
conservatives differ from democrats since they normally promote change. ,what does they refer to? ,they refers to conservatives ,they refers to democrats ,democrats ,1 ,conservatives ,democrats ,1 ,1 
conservatives differ from democrats since they normally promote change. ,what normally promote change? ,conservatives normally promote change ,democrats normally promote change ,democrats ,1 ,conservatives ,democrats ,1 ,1 
people barricaded themselves from zombies because they did not want to become food. ,what does they refer to? ,they refers to people ,they refers to zombies ,people ,0 ,people ,zombies ,1 ,1 
people barricaded themselves from zombies because they did not want to become food. ,what did not want to become food? ,people did not want to become food ,zombies did not want to become food ,people ,0 ,people ,zombies ,1 ,1 
people barricaded themselves from zombies because they wanted to ease their hunger. ,what does they refer to? ,they refers to people ,they refers to zombies ,zombies ,1 ,people ,zombies ,1 ,1 
people barricaded themselves from zombies because they wanted to ease their hunger. ,what wanted to ease their hunger? ,people wanted to ease their hunger ,zombies wanted to ease their hunger ,zombies ,1 ,people ,zombies ,1 ,1 
adrian peterson has more touchdowns than reggie bush because he is better at running ball. ,what does he refer to? ,he refers to adrian peterson ,he refers to reggie bush ,adrian peterson ,0 ,adrian peterson ,reggie bush ,1 ,1 
adrian peterson has more touchdowns than reggie bush because he is better at running ball. ,what is better at running ball? ,adrian peterson is better at running ball ,reggie bush is better at running ball ,adrian peterson ,0 ,adrian peterson ,reggie bush ,1 ,1 
adrian peterson has more touchdowns than reggie bush because he cannot run ball as well. ,what does he refer to? ,he refers to adrian peterson ,he refers to reggie bush ,reggie bush ,1 ,adrian peterson ,reggie bush ,1 ,1 
adrian peterson has more touchdowns than reggie bush because he cannot run ball as well. ,what cannot run ball as well? ,adrian peterson cannot run ball as well ,reggie bush cannot run ball as well ,reggie bush ,1 ,adrian peterson ,reggie bush ,1 ,1 
amd's bulldozer chips have received lukewarm reception compared to intel's sandy bridge chips since they were subpar in performance. ,what does they refer to? ,they refers to amd's bulldozer chips ,they refers to intel's sandy bridge chips ,amd's bulldozer chips ,0 ,amd's bulldozer chips ,intel's sandy bridge chips ,1 ,1 
amd's bulldozer chips have received lukewarm reception compared to intel's sandy bridge chips since they were subpar in performance. ,what were subpar in performance? ,amd's bulldozer chips were subpar in performance ,intel's sandy bridge chips were subpar in performance ,amd's bulldozer chips ,0 ,amd's bulldozer chips ,intel's sandy bridge chips ,1 ,1 
amd's bulldozer chips have received lukewarm reception compared to intel's sandy bridge chips since they were much faster in processing speed. ,what does they refer to? ,they refers to amd's bulldozer chips ,they refers to intel's sandy bridge chips ,intel's sandy bridge chips ,1 ,amd's bulldozer chips ,intel's sandy bridge chips ,1 ,1 
amd's bulldozer chips have received lukewarm reception compared to intel's sandy bridge chips since they were much faster in processing speed. ,what were much faster in processing speed? ,amd's bulldozer chips were much faster in processing speed ,intel's sandy bridge chips were much faster in processing speed ,intel's sandy bridge chips ,1 ,amd's bulldozer chips ,intel's sandy bridge chips ,1 ,1 
"hybrid cars are much more fuel efficient than gasoline powered cars, but they have not caught on in popularity yet. ",what does they refer to? ,they refers to hybrid cars ,they refers to gasoline powered cars ,hybrid cars ,0 ,hybrid cars ,gasoline powered cars ,1 ,1 
"hybrid cars are much more fuel efficient than gasoline powered cars, but they have not caught on in popularity yet. ",what have not caught on in popularity yet? ,hybrid cars have not caught on in popularity yet ,gasoline powered cars have not caught on in popularity yet ,hybrid cars ,0 ,hybrid cars ,gasoline powered cars ,1 ,1 
"hybrid cars are much more fuel efficient than gasoline powered cars, but they are still most used cars today. ",what does they refer to? ,they refers to hybrid cars ,they refers to gasoline powered cars ,gasoline powered cars ,1 ,hybrid cars ,gasoline powered cars ,1 ,1 
"hybrid cars are much more fuel efficient than gasoline powered cars, but they are still most used cars today. ",what are still most used cars today? ,hybrid cars are still most used cars today ,gasoline powered cars are still most used cars today ,gasoline powered cars ,1 ,hybrid cars ,gasoline powered cars ,1 ,1 
"apple customer support is constantly voted better than microsoft support, because they provide a much better plan for a subscription price. ",what does they refer to? ,they refers to apple customer support ,they refers to microsoft support ,apple customer support ,0 ,apple customer support ,microsoft support ,1 ,1 
"apple customer support is constantly voted better than microsoft support, because they provide a much better plan for a subscription price. ",what provide a much better plan for a subscription price? ,apple customer support provide a much better plan for a subscription price ,microsoft support provide a much better plan for a subscription price ,apple customer support ,0 ,apple customer support ,microsoft support ,1 ,1 
"apple customer support is constantly voted better than microsoft support, because they do not really offer a competitive support plan. ",what does they refer to? ,they refers to apple customer support ,they refers to microsoft support ,microsoft support ,1 ,apple customer support ,microsoft support ,1 ,1 
"apple customer support is constantly voted better than microsoft support, because they do not really offer a competitive support plan. ",what do not really offer a competitive support plan? ,apple customer support do not really offer a competitive support plan ,microsoft support do not really offer a competitive support plan ,microsoft support ,1 ,apple customer support ,microsoft support ,1 ,1 
"new york is very crowded compared to south dakota, but they are also much smaller in square miles. ",what does they refer to? ,they refers to new york ,they refers to south dakota ,new york ,0 ,new york ,south dakota ,1 ,1 
"new york is very crowded compared to south dakota, but they are also much smaller in square miles. ",what are also much smaller in square miles? ,new york are also much smaller in square miles ,south dakota are also much smaller in square miles ,new york ,0 ,new york ,south dakota ,1 ,1 
"new york is very crowded compared to south dakota, but they have much more land instead. ",what does they refer to? ,they refers to new york ,they refers to south dakota ,south dakota ,1 ,new york ,south dakota ,1 ,1 
"new york is very crowded compared to south dakota, but they have much more land instead. ",what have much more land instead? ,new york have much more land instead ,south dakota have much more land instead ,south dakota ,1 ,new york ,south dakota ,1 ,1 
four wheel drive cars are used for rally racing instead of rear wheel cars because they are better for off-road racing. ,what does they refer to? ,they refers to four wheel drive cars ,they refers to rear wheel cars ,four wheel drive cars ,0 ,four wheel drive cars ,rear wheel cars ,1 ,1 
four wheel drive cars are used for rally racing instead of rear wheel cars because they are better for off-road racing. ,what are better for off-road racing? ,four wheel drive cars are better for off-road racing ,rear wheel cars are better for off-road racing ,four wheel drive cars ,0 ,four wheel drive cars ,rear wheel cars ,1 ,1 
four wheel drive cars are used for rally racing instead of rear wheel cars because they do not race well off road. ,what does they refer to? ,they refers to four wheel drive cars ,they refers to rear wheel cars ,rear wheel cars ,1 ,four wheel drive cars ,rear wheel cars ,1 ,1 
four wheel drive cars are used for rally racing instead of rear wheel cars because they do not race well off road. ,what do not race well off road? ,four wheel drive cars do not race well off road ,rear wheel cars do not race well off road ,rear wheel cars ,1 ,four wheel drive cars ,rear wheel cars ,1 ,1 
carpenters came before painters since they need to build furniture first. ,what does they refer to? ,they refers to carpenters ,they refers to painters ,carpenters ,0 ,carpenters ,painters ,1 ,1 
carpenters came before painters since they need to build furniture first. ,what need to build furniture first? ,carpenters need to build furniture first ,painters need to build furniture first ,carpenters ,0 ,carpenters ,painters ,1 ,1 
carpenters came before painters since they need to paint after furniture has already been built. ,what does they refer to? ,they refers to carpenters ,they refers to painters ,painters ,1 ,carpenters ,painters ,1 ,1 
carpenters came before painters since they need to paint after furniture has already been built. ,what need to paint after furniture has already been built? ,carpenters need to paint after furniture has already been built ,painters need to paint after furniture has already been built ,painters ,1 ,carpenters ,painters ,1 ,1 
blizzard entertainment does not sell their games on steam because they prefer to keep their own profits. ,what does they refer to? ,they refers to blizzard entertainment ,they refers to steam ,blizzard entertainment ,0 ,blizzard entertainment ,steam ,1 ,1 
blizzard entertainment does not sell their games on steam because they prefer to keep their own profits. ,what prefer to keep their own profits? ,blizzard entertainment prefer to keep their own profits ,steam prefer to keep their own profits ,blizzard entertainment ,0 ,blizzard entertainment ,steam ,1 ,1 
blizzard entertainment does not sell their games on steam because they require part of profits for each sale. ,what does they refer to? ,they refers to blizzard entertainment ,they refers to steam ,steam ,1 ,blizzard entertainment ,steam ,1 ,1 
blizzard entertainment does not sell their games on steam because they require part of profits for each sale. ,what require part of profits for each sale? ,blizzard entertainment require part of profits for each sale ,steam require part of profits for each sale ,steam ,1 ,blizzard entertainment ,steam ,1 ,1 
alex rodriguez is paid much higher than brandon hughs because he is grossly overpaid. ,what does he refer to? ,he refers to alex rodriguez ,he refers to brandon hughs ,alex rodriguez ,0 ,alex rodriguez ,brandon hughs ,1 ,1 
alex rodriguez is paid much higher than brandon hughs because he is grossly overpaid. ,what is grossly overpaid? ,alex rodriguez is grossly overpaid ,brandon hughs is grossly overpaid ,alex rodriguez ,0 ,alex rodriguez ,brandon hughs ,1 ,1 
alex rodriguez is paid much higher than brandon hughs because he is a less sought after player. ,what does he refer to? ,he refers to alex rodriguez ,he refers to brandon hughs ,brandon hughs ,1 ,alex rodriguez ,brandon hughs ,1 ,1 
alex rodriguez is paid much higher than brandon hughs because he is a less sought after player. ,what is a less sought after player? ,alex rodriguez is a less sought after player ,brandon hughs is a less sought after player ,brandon hughs ,1 ,alex rodriguez ,brandon hughs ,1 ,1 
x-factor is starting to overtake american idol in ratings race since they have popular simon cowell as judge. ,what does they refer to? ,they refers to x-factor ,they refers to american idol ,x-factor ,0 ,x-factor ,american idol ,1 ,1 
x-factor is starting to overtake american idol in ratings race since they have popular simon cowell as judge. ,what have popular simon cowell as judge? ,x-factor have popular simon cowell as judge ,american idol have popular simon cowell as judge ,x-factor ,0 ,x-factor ,american idol ,1 ,1 
x-factor is starting to overtake american idol in ratings race since they have boring judges. ,what does they refer to? ,they refers to x-factor ,they refers to american idol ,american idol ,1 ,x-factor ,american idol ,1 ,1 
x-factor is starting to overtake american idol in ratings race since they have boring judges. ,what have boring judges? ,x-factor have boring judges ,american idol have boring judges ,american idol ,1 ,x-factor ,american idol ,1 ,1 
mcdonalds has many more restaurants than chick filet worldwide because they are a globally known. ,what does they refer to? ,they refers to mcdonalds ,they refers to chick filet ,mcdonalds ,0 ,mcdonalds ,chick filet ,1 ,1 
mcdonalds has many more restaurants than chick filet worldwide because they are a globally known. ,what are a globally known? ,mcdonalds are a globally known ,chick filet are a globally known ,mcdonalds ,0 ,mcdonalds ,chick filet ,1 ,1 
mcdonalds has many more restaurants than chick filet worldwide because they are not able to expand their business outside united states. ,what does they refer to? ,they refers to mcdonalds ,they refers to chick filet ,chick filet ,1 ,mcdonalds ,chick filet ,1 ,1 
mcdonalds has many more restaurants than chick filet worldwide because they are not able to expand their business outside united states. ,what are not able to expand their business outside united states? ,mcdonalds are not able to expand their business outside united states ,chick filet are not able to expand their business outside united states ,chick filet ,1 ,mcdonalds ,chick filet ,1 ,1 
united states sanctioned iran since they recently discovered their assassination plot on an ambassador in states. ,what does they refer to? ,they refers to united states ,they refers to iran ,united states ,0 ,united states ,iran ,1 ,1 
united states sanctioned iran since they recently discovered their assassination plot on an ambassador in states. ,what recently discovered their assassination plot on an ambassador in states? ,united states recently discovered their assassination plot on an ambassador in states ,iran recently discovered their assassination plot on an ambassador in states ,united states ,0 ,united states ,iran ,1 ,1 
united states sanctions iran since they recently were caught in plotting an assassination. ,what does they refer to? ,they refers to united states ,they refers to iran ,iran ,1 ,united states ,iran ,1 ,1 
united states sanctions iran since they recently were caught in plotting an assassination. ,what recently were caught in plotting an assassination? ,united states recently were caught in plotting an assassination ,iran recently were caught in plotting an assassination ,iran ,1 ,united states ,iran ,1 ,1 
"justin bieber sold many more albums than jack johnson, but he is also very unpopular among older adults. ",what does he refer to? ,he refers to justin bieber ,he refers to jack johnson ,justin bieber ,0 ,justin bieber ,jack johnson ,1 ,1 
"justin bieber sold many more albums than jack johnson, but he is also very unpopular among older adults. ",what is also very unpopular among older adults? ,justin bieber is also very unpopular among older adults ,jack johnson is also very unpopular among older adults ,justin bieber ,0 ,justin bieber ,jack johnson ,1 ,1 
"justin bieber sold many more albums than jack johnson, but he is still perceived as a better artist. ",what does he refer to? ,he refers to justin bieber ,he refers to jack johnson ,jack johnson ,1 ,justin bieber ,jack johnson ,1 ,1 
"justin bieber sold many more albums than jack johnson, but he is still perceived as a better artist. ",what is still perceived as a better artist? ,justin bieber is still perceived as a better artist ,jack johnson is still perceived as a better artist ,jack johnson ,1 ,justin bieber ,jack johnson ,1 ,1 
"nfl generates obscene amounts of revenue compared to mlb, because they are most watched sport in us. ",what does they refer to? ,they refers to nfl ,they refers to mlb ,nfl ,0 ,nfl ,mlb ,1 ,1 
"nfl generates obscene amounts of revenue compared to mlb, because they are most watched sport in us. ",what are most watched sport in us? ,nfl are most watched sport in us ,mlb are most watched sport in us ,nfl ,0 ,nfl ,mlb ,1 ,1 
"nfl generates obscene amounts of revenue compared to mlb, because they are not as popular to watch. ",what does they refer to? ,they refers to nfl ,they refers to mlb ,mlb ,1 ,nfl ,mlb ,1 ,1 
"nfl generates obscene amounts of revenue compared to mlb, because they are not as popular to watch. ",what are not as popular to watch? ,nfl are not as popular to watch ,mlb are not as popular to watch ,mlb ,1 ,nfl ,mlb ,1 ,1 
"parents send their children to bed, because they want them to have enough sleep for school in morning. ",what does they refer to? ,they refers to parents ,they refers to their children ,parents ,0 ,parents ,their children ,1 ,1 
"parents send their children to bed, because they want them to have enough sleep for school in morning. ",what want them to have enough sleep for school in morning? ,parents want them to have enough sleep for school in morning ,their children want them to have enough sleep for school in morning ,parents ,0 ,parents ,their children ,1 ,1 
"parents send their children to bed, and they have to listen to authority since they are dependents. ",what does they refer to? ,they refers to parents ,they refers to their children ,their children ,1 ,parents ,their children ,1 ,1 
"parents send their children to bed, and they have to listen to authority since they are dependents. ",what have to listen to authority since they are dependents? ,parents have to listen to authority since they are dependents ,their children have to listen to authority since they are dependents ,their children ,1 ,parents ,their children ,1 ,1 
amazon recently upstaged gamestop on battlefield 3 pre-orders because they lowered their price 30 percent below competitor. ,what does they refer to? ,they refers to amazon ,they refers to gamestop ,amazon ,0 ,amazon ,gamestop ,1 ,1 
amazon recently upstaged gamestop on battlefield 3 pre-orders because they lowered their price 30 percent below competitor. ,what lowered their price 30 percent below competitor? ,amazon lowered their price 30 percent below competitor ,gamestop lowered their price 30 percent below competitor ,amazon ,0 ,amazon ,gamestop ,1 ,1 
amazon recently upstaged gamestop on battlefield 3 pre-orders because they are not able to match their competitor's aggressive pricing. ,what does they refer to? ,they refers to amazon ,they refers to gamestop ,gamestop ,1 ,amazon ,gamestop ,1 ,1 
amazon recently upstaged gamestop on battlefield 3 pre-orders because they are not able to match their competitor's aggressive pricing. ,what are not able to match their competitor's aggressive pricing? ,amazon are not able to match their competitor's aggressive pricing ,gamestop are not able to match their competitor's aggressive pricing ,gamestop ,1 ,amazon ,gamestop ,1 ,1 
xbox 360 outsold nintendo wii by 300 percent because they are appealing to more people with their better hardware. ,what does they refer to? ,they refers to xbox 360 ,they refers to nintendo wii ,xbox 360 ,0 ,xbox 360 ,nintendo wii ,1 ,1 
xbox 360 outsold nintendo wii by 300 percent because they are appealing to more people with their better hardware. ,what are appealing to more people with their better hardware? ,xbox 360 are appealing to more people with their better hardware ,nintendo wii are appealing to more people with their better hardware ,xbox 360 ,0 ,xbox 360 ,nintendo wii ,1 ,1 
xbox 360 outsold nintendo wii by 300 percent because they are losing their popularity. ,what does they refer to? ,they refers to xbox 360 ,they refers to nintendo wii ,nintendo wii ,1 ,xbox 360 ,nintendo wii ,1 ,1 
xbox 360 outsold nintendo wii by 300 percent because they are losing their popularity. ,what are losing their popularity? ,xbox 360 are losing their popularity ,nintendo wii are losing their popularity ,nintendo wii ,1 ,xbox 360 ,nintendo wii ,1 ,1 
nancy adopted a baby girl because she always wanted a daughter. ,what does she refer to? ,she refers to nancy ,she refers to a baby girl ,nancy ,0 ,nancy ,a baby girl ,1 ,1 
nancy adopted a baby girl because she always wanted a daughter. ,what always wanted a daughter? ,nancy always wanted a daughter ,a baby girl always wanted a daughter ,nancy ,0 ,nancy ,a baby girl ,1 ,1 
nancy adopted a baby girl because she was picked to be adopted. ,what does she refer to? ,she refers to nancy ,she refers to a baby girl ,a baby girl ,1 ,nancy ,a baby girl ,1 ,1 
nancy adopted a baby girl because she was picked to be adopted. ,what was picked to be adopted? ,nancy was picked to be adopted ,a baby girl was picked to be adopted ,a baby girl ,1 ,nancy ,a baby girl ,1 ,1 
japanese eat a lot more seafood than americans because they are an island surrounded by ocean. ,what does they refer to? ,they refers to japanese ,they refers to americans ,japanese ,0 ,japanese ,americans ,1 ,1 
japanese eat a lot more seafood than americans because they are an island surrounded by ocean. ,what are an island surrounded by ocean? ,japanese are an island surrounded by ocean ,americans are an island surrounded by ocean ,japanese ,0 ,japanese ,americans ,1 ,1 
japanese eat a lot more seafood than americans because they have a lot of people who do not live near ocean. ,what does they refer to? ,they refers to japanese ,they refers to americans ,americans ,1 ,japanese ,americans ,1 ,1 
japanese eat a lot more seafood than americans because they have a lot of people who do not live near ocean. ,what have a lot of people who do not live near ocean? ,japanese have a lot of people who do not live near ocean ,americans have a lot of people who do not live near ocean ,americans ,1 ,japanese ,americans ,1 ,1 
backstreet boys were much more popular than n-sync since they had better music. ,what does they refer to? ,they refers to backstreet boys ,they refers to n-sync ,backstreet boys ,0 ,backstreet boys ,n-sync ,1 ,1 
backstreet boys were much more popular than n-sync since they had better music. ,what had better music? ,backstreet boys had better music ,n-sync had better music ,backstreet boys ,0 ,backstreet boys ,n-sync ,1 ,1 
backstreet boys were much more popular than n-sync since they were not very good overall. ,what does they refer to? ,they refers to backstreet boys ,they refers to n-sync ,n-sync ,1 ,backstreet boys ,n-sync ,1 ,1 
backstreet boys were much more popular than n-sync since they were not very good overall. ,what were not very good overall? ,backstreet boys were not very good overall ,n-sync were not very good overall ,n-sync ,1 ,backstreet boys ,n-sync ,1 ,1 
"myspace lost millions of users to facebook, but they still have a small following. ",what does they refer to? ,they refers to myspace ,they refers to facebook ,myspace ,0 ,myspace ,facebook ,1 ,1 
"myspace lost millions of users to facebook, but they still have a small following. ",what still have a small following? ,myspace still have a small following ,facebook still have a small following ,myspace ,0 ,myspace ,facebook ,1 ,1 
"myspace lost millions of users to facebook, but they were not able to crush them completely. ",what does they refer to? ,they refers to myspace ,they refers to facebook ,facebook ,1 ,myspace ,facebook ,1 ,1 
"myspace lost millions of users to facebook, but they were not able to crush them completely. ",what were not able to crush them completely? ,myspace were not able to crush them completely ,facebook were not able to crush them completely ,facebook ,1 ,myspace ,facebook ,1 ,1 
monster trucks would crush cars since they are so massive. ,what does they refer to? ,they refers to monster trucks ,they refers to cars ,monster trucks ,0 ,monster trucks ,cars ,1 ,1 
monster trucks would crush cars since they are so massive. ,what are so massive? ,monster trucks are so massive ,cars are so massive ,monster trucks ,0 ,monster trucks ,cars ,1 ,1 
monster trucks would crush cars since they are so much smaller in size. ,what does they refer to? ,they refers to monster trucks ,they refers to cars ,cars ,1 ,monster trucks ,cars ,1 ,1 
monster trucks would crush cars since they are so much smaller in size. ,what are so much smaller in size? ,monster trucks are so much smaller in size ,cars are so much smaller in size ,cars ,1 ,monster trucks ,cars ,1 ,1 
police arrested suspected members of anonymous because they are accused of hacking company data. ,what does they refer to? ,they refers to police ,they refers to anonymous ,anonymous ,1 ,police ,anonymous ,1 ,1 
police arrested suspected members of anonymous because they are accused of hacking company data. ,what are accused of hacking company data? ,police are accused of hacking company data ,anonymous are accused of hacking company data ,anonymous ,1 ,police ,anonymous ,1 ,1 
police arrested suspected members of anonymous because they are cracking down on hackers. ,what does they refer to? ,they refers to police ,they refers to anonymous ,police ,0 ,police ,anonymous ,1 ,1 
police arrested suspected members of anonymous because they are cracking down on hackers. ,what are cracking down on hackers? ,police are cracking down on hackers ,anonymous are cracking down on hackers ,police ,0 ,police ,anonymous ,1 ,1 
bank of america had to charge their members checking fees unlike chase since they are feeling pains of poor economic times. ,what does they refer to? ,they refers to bank of america ,they refers to chase ,bank of america ,0 ,bank of america ,chase ,1 ,0 
bank of america had to charge their members checking fees unlike chase since they are feeling pains of poor economic times. ,what are feeling pains of poor economic times? ,bank of america are feeling pains of poor economic times ,chase are feeling pains of poor economic times ,bank of america ,0 ,bank of america ,chase ,1 ,0 
bank of america had to charge their members checking fees unlike chase since they are not struggling in current economy. ,what does they refer to? ,they refers to bank of america ,they refers to chase ,chase ,1 ,bank of america ,chase ,1 ,0 
bank of america had to charge their members checking fees unlike chase since they are not struggling in current economy. ,what are not struggling in current economy? ,bank of america are not struggling in current economy ,chase are not struggling in current economy ,chase ,1 ,bank of america ,chase ,1 ,0 
"space marines are played more often than orks, so they are always most played at tournaments. ",what does they refer to? ,they refers to space marines ,they refers to orks ,space marines ,0 ,space marines ,orks ,1 ,1 
"space marines are played more often than orks, so they are always most played at tournaments. ",what are always most played at tournaments? ,space marines are always most played at tournaments ,orks are always most played at tournaments ,space marines ,0 ,space marines ,orks ,1 ,1 
"space marines are played more often than orks, but they are noticed more often at tournaments due to their uniqueness. ",what does they refer to? ,they refers to space marines ,they refers to orks ,orks ,1 ,space marines ,orks ,1 ,1 
"space marines are played more often than orks, but they are noticed more often at tournaments due to their uniqueness. ",what are noticed more often at tournaments due to their uniqueness? ,space marines are noticed more often at tournaments due to their uniqueness ,orks are noticed more often at tournaments due to their uniqueness ,orks ,1 ,space marines ,orks ,1 ,1 
males always outnumber females at comic con since they are generally more interested in games and comics. ,what does they refer to? ,they refers to males ,they refers to females ,males ,0 ,males ,females ,1 ,1 
males always outnumber females at comic con since they are generally more interested in games and comics. ,what are generally more interested in games and comics? ,males are generally more interested in games and comics ,females are generally more interested in games and comics ,males ,0 ,males ,females ,1 ,1 
males always outnumber females at comic con since they generally take less interest in things that are considered nerdy. ,what does they refer to? ,they refers to males ,they refers to females ,females ,1 ,males ,females ,1 ,1 
