Question String,Pronoun,Split1,Split2,Option1,Option2 
Blizzard Entertainment does not sell their games on Steam because they prefer to keep their own profits.,they,Blizzard Entertainment does not sell their games on Steam because,they prefer to keep their own profits.,Blizzard Entertainment,Steam
Blizzard Entertainment does not sell their games on Steam because they require part of the profits for each sale.,they,Blizzard Entertainment does not sell their games on Steam because,they require part of the profits for each sale.,Blizzard Entertainment,Steam
Alex Rodriguez is paid much higher than Brandon Hughs because he is grossly overpaid.,he,Alex Rodriguez is paid much higher than Brandon Hughs because,he is grossly overpaid.,Alex Rodriguez,Brandon Hughs
Alex Rodriguez is paid much higher than Brandon Hughs because he is a less sought after player.,he,Alex Rodriguez is paid much higher than Brandon Hughs because,he is a less sought after player.,Alex Rodriguez,Brandon Hughs
The X-Factor is starting to overtake American Idol in the ratings race since they have the popular Simon Cowell as the judge.,they,The X-Factor is starting to overtake American Idol in the ratings race since,they have the popular Simon Cowell as the judge.,The X-Factor,American Idol
The X-Factor is starting to overtake American Idol in the ratings race since they have boring judges.,they,The X-Factor is starting to overtake American Idol in the ratings race since,they have boring judges.,The X-Factor,American Idol
McDonalds has many more restaurants than Chick Filet worldwide because they are a globally known.,they,McDonalds has many more restaurants than Chick Filet worldwide because,they are a globally known.,McDonalds,Chick Filet
McDonalds has many more restaurants than Chick Filet worldwide because they are not able to expand their business outside the United States.,they,McDonalds has many more restaurants than Chick Filet worldwide because,they are not able to expand their business outside the United States.,McDonalds,Chick Filet
The United States sanctioned Iran since they recently discovered their assassination plot on an ambassador in the States.,they,The United States sanctioned Iran since,they recently discovered their assassination plot on an ambassador in the States.,The United States,Iran
The United States sanctions Iran since they recently were caught in plotting an assassination.,they,The United States sanctions Iran since,they recently were caught in plotting an assassination.,The United States,Iran
"Justin Bieber sold many more albums than Jack Johnson, but he is also very unpopular among older adults.",he,"Justin Bieber sold many more albums than Jack Johnson, but",he is also very unpopular among older adults.,Justin Bieber,Jack Johnson
"Justin Bieber sold many more albums than Jack Johnson, but he is still perceived as a better artist.",he,"Justin Bieber sold many more albums than Jack Johnson, but",he is still perceived as a better artist.,Justin Bieber,Jack Johnson
"The NFL generates obscene amounts of revenue compared to the MLB, because they are the most watched sport in the US.",they,"The NFL generates obscene amounts of revenue compared to the MLB, because",they are the most watched sport in the US.,The NFL,the MLB
"The NFL generates obscene amounts of revenue compared to the MLB, because they are not as popular to watch.",they,"The NFL generates obscene amounts of revenue compared to the MLB, because",they are not as popular to watch.,The NFL,the MLB
"Parents send their children to bed, because they want them to have enough sleep for school in the morning.",they,"Parents send their children to bed, because",they want them to have enough sleep for school in the morning.,Parents,their children
"Parents send their children to bed, and they have to listen to authority since they are dependents.",they,"Parents send their children to bed, and",they have to listen to authority since they are dependents.,Parents,their children
Amazon recently upstaged Gamestop on Battlefield 3 pre-orders because they lowered their price 30 percent below the competitor.,they,Amazon recently upstaged Gamestop on Battlefield 3 pre-orders because,they lowered their price 30 percent below the competitor.,Amazon,Gamestop
Amazon recently upstaged Gamestop on Battlefield 3 pre-orders because they are not able to match their competitor's aggressive pricing.,they,Amazon recently upstaged Gamestop on Battlefield 3 pre-orders because,they are not able to match their competitor's aggressive pricing.,Amazon,Gamestop
The Xbox 360 outsold the Nintendo Wii by 300 percent because they are appealing to more people with their better hardware.,they,The Xbox 360 outsold the Nintendo Wii by 300 percent because,they are appealing to more people with their better hardware.,The Xbox 360,the Nintendo Wii
The Xbox 360 outsold the Nintendo Wii by 300 percent because they are losing their popularity.,they,The Xbox 360 outsold the Nintendo Wii by 300 percent because,they are losing their popularity.,The Xbox 360,the Nintendo Wii
Nancy adopted a baby girl because she always wanted a daughter.,she,Nancy adopted a baby girl because,she always wanted a daughter.,Nancy,a baby girl
Nancy adopted a baby girl because she was picked to be adopted.,she,Nancy adopted a baby girl because,she was picked to be adopted.,Nancy,a baby girl
The Japanese eat a lot more seafood than the Americans because they are an island surrounded by the ocean.,they,The Japanese eat a lot more seafood than the Americans because,they are an island surrounded by the ocean.,The Japanese,the Americans
The Japanese eat a lot more seafood than the Americans because they have a lot of people who do not live near the ocean.,they,The Japanese eat a lot more seafood than the Americans because,they have a lot of people who do not live near the ocean.,The Japanese,the Americans
The Backstreet Boys were much more popular than N-Sync since they had the better music.,they,The Backstreet Boys were much more popular than N-Sync since,they had the better music.,The Backstreet Boys,N-Sync
The Backstreet Boys were much more popular than N-Sync since they were not very good overall.,they,The Backstreet Boys were much more popular than N-Sync since,they were not very good overall.,The Backstreet Boys,N-Sync
"MySpace lost millions of users to Facebook, but they still have a small following.",they,"MySpace lost millions of users to Facebook, but",they still have a small following.,MySpace,Facebook
"MySpace lost millions of users to Facebook, but they were not able to crush them completely.",they,"MySpace lost millions of users to Facebook, but",they were not able to crush them completely.,MySpace,Facebook
Monster trucks would crush cars since they are so massive.,they,Monster trucks would crush cars since,they are so massive.,Monster trucks,cars
Monster trucks would crush cars since they are so much smaller in size.,they,Monster trucks would crush cars since,they are so much smaller in size.,Monster trucks,cars
The police arrested suspected members of Anonymous because they are accused of hacking company data.,they,The police arrested suspected members of Anonymous because,they are accused of hacking company data.,The police,Anonymous
The police arrested suspected members of Anonymous because they are cracking down on hackers.,they,The police arrested suspected members of Anonymous because,they are cracking down on hackers.,The police,Anonymous
Bank of America had to charge their members checking fees unlike Chase since they are feeling the pains of poor economic times.,they,Bank of America had to charge their members checking fees unlike Chase since,they are feeling the pains of poor economic times.,Bank of America,Chase
Bank of America had to charge their members checking fees unlike Chase since they are not struggling in the current economy.,they,Bank of America had to charge their members checking fees unlike Chase since,they are not struggling in the current economy.,Bank of America,Chase
"Space Marines are played more often than Orks, so they are always the most played at tournaments.",they,"Space Marines are played more often than Orks, so",they are always the most played at tournaments.,Space Marines,Orks
"Space Marines are played more often than Orks, but they are noticed more often at tournaments due to their uniqueness.",they,"Space Marines are played more often than Orks, but",they are noticed more often at tournaments due to their uniqueness.,Space Marines,Orks
Males always outnumber females at Comic Con since they are generally more interested in games and comics.,they,Males always outnumber females at Comic Con since,they are generally more interested in games and comics.,Males,females
Males always outnumber females at Comic Con since they generally take less interest in things that are considered nerdy.,they,Males always outnumber females at Comic Con since,they generally take less interest in things that are considered nerdy.,Males,females
Snooki got angry at Kendra since she would not emotionally support her in her time of need.,she,Snooki got angry at Kendra since,she would not emotionally support her in her time of need.,Snooki,Kendra
Snooki got angry at Kendra since she is upset that her friend would not comfort her.,she,Snooki got angry at Kendra since,she is upset that her friend would not comfort her.,Snooki,Kendra
The airline unions constantly go on strike against the airlines because they want better salaries.,they,The airline unions constantly go on strike against the airlines because,they want better salaries.,The airline unions,the airlines
The airline unions constantly go on strike against the airlines because they do not care for the employees.,they,The airline unions constantly go on strike against the airlines because,they do not care for the employees.,The airline unions,the airlines
"Sprint is now selling the IPhone just like Verizon, because they want to also attract customers who are fans of the IPhone.",they,"Sprint is now selling the IPhone just like Verizon, because",they want to also attract customers who are fans of the IPhone.,Sprint,Verizon
"Sprint is now selling the IPhone just like Verizon, because they were crushing them in new customers due to this particular phone.",they,"Sprint is now selling the IPhone just like Verizon, because",they were crushing them in new customers due to this particular phone.,Sprint,Verizon
"Pirates are always compared to ninjas, but they prefer to fight at sea.",they,"Pirates are always compared to ninjas, but",they prefer to fight at sea.,Pirates,ninjas
"Pirates are always compared to ninjas, but they are more specific to Japanese culture.",they,"Pirates are always compared to ninjas, but",they are more specific to Japanese culture.,Pirates,ninjas
Intel sued IntelSpec since they are trying to protect their trademark name.,they,Intel sued IntelSpec since,they are trying to protect their trademark name.,Intel,IntelSpec
Intel sued IntelSpec since they happen to have a trademarked brand in their company name.,they,Intel sued IntelSpec since,they happen to have a trademarked brand in their company name.,Intel,IntelSpec
The bartenders threw ice at the Jersey Shore cast because they did not not like them in their club.,they,The bartenders threw ice at the Jersey Shore cast because,they did not not like them in their club.,The bartenders,the Jersey Shore cast
The bartenders threw ice at the Jersey Shore cast because they were not wanted in the club.,they,The bartenders threw ice at the Jersey Shore cast because,they were not wanted in the club.,The bartenders,the Jersey Shore cast
"The government wanted to issue weapons to the US border patrol, so they asked the Congress to approve the budget on weapons.",they,"The government wanted to issue weapons to the US border patrol, so",they asked the Congress to approve the budget on weapons.,The government,the US border patrol
"The government wanted to issue weapons to the US border patrol, since they need them to patrol effectively.",they,"The government wanted to issue weapons to the US border patrol, since",they need them to patrol effectively.,The government,the US border patrol
"Doctor Jenner continued his work on a vaccine for John, but he is not have much success.",he,"Doctor Jenner continued his work on a vaccine for John, but",he is not have much success.,Doctor Jenner,John
Doctor Jenner continued his work on a vaccine for John because he has a deadly disease.,he,Doctor Jenner continued his work on a vaccine for John because,he has a deadly disease.,Doctor Jenner,John
Officer Kennedy saved Roger from the criminals because he upholds the peace.,he,Officer Kennedy saved Roger from the criminals because,he upholds the peace.,Officer Kennedy,Roger
"Officer Kennedy saved Roger from the criminals, but he was not grateful for being saved.",he,"Officer Kennedy saved Roger from the criminals, but",he was not grateful for being saved.,Officer Kennedy,Roger
The Board of Directors fired the management from the company since they did not think they were doing a good job.,they,The Board of Directors fired the management from the company since,they did not think they were doing a good job.,The Board of Directors,the management
The Board of Directors fired the management from the company since they were not managing the company well.,they,The Board of Directors fired the management from the company since,they were not managing the company well.,The Board of Directors,the management
The employees of Six Flags denied the customers access to the ride since they deemed the ride unsafe.,they,The employees of Six Flags denied the customers access to the ride since,they deemed the ride unsafe.,The employees of Six Flags,the customers
"The employees of Six Flags denied the customers access to the ride, but they can still go on other rides.",they,"The employees of Six Flags denied the customers access to the ride, but",they can still go on other rides.,The employees of Six Flags,the customers
Field Reporter Chris Johnson interviewed Corporal Mason since he needs to get the story for the media.,he,Field Reporter Chris Johnson interviewed Corporal Mason since,he needs to get the story for the media.,Field Reporter Chris Johnson,Corporal Mason
Field Reporter Chris Johnson interviewed Corporal Mason because he can provide information from fighting on the front line.,he,Field Reporter Chris Johnson interviewed Corporal Mason because,he can provide information from fighting on the front line.,Field Reporter Chris Johnson,Corporal Mason
The Cowboys formed a trailer defense against the Indians since they have a better chance of surviving.,they,The Cowboys formed a trailer defense against the Indians since,they have a better chance of surviving.,The Cowboys,the Indians
The Cowboys formed a trailer defense against the Indians since they are about to attack.,they,The Cowboys formed a trailer defense against the Indians since,they are about to attack.,The Cowboys,the Indians
Raccoons constantly play dead when people come near since they hope they will be ignored.,they,Raccoons constantly play dead when people come near since,they hope they will be ignored.,Raccoons,people
Raccoons constantly play dead when people come near because they frighten them.,they,Raccoons constantly play dead when people come near because,they frighten them.,Raccoons,people
The Minecraft developers managed to win their case regarding copyright infringement against Bethesda Studios since they did not violate any laws.,they,The Minecraft developers managed to win their case regarding copyright infringement against Bethesda Studios since,they did not violate any laws.,The Minecraft developers,Bethesda Studios
"The Minecraft developers managed to win their case regarding copyright infringement against Bethesda Studios, but they will probably file another lawsuit again.",they,"The Minecraft developers managed to win their case regarding copyright infringement against Bethesda Studios, but",they will probably file another lawsuit again.,The Minecraft developers,Bethesda Studios
"Batman is always teaching Robin new techniques and tips, since he is his mentor.",he,"Batman is always teaching Robin new techniques and tips, since",he is his mentor.,Batman,Robin
Batman is always teaching Robin new techniques and tips so he will one day be equal in skill.,he,Batman is always teaching Robin new techniques and tips so,he will one day be equal in skill.,Batman,Robin
"Penguins tend to stay on land to avoid killer whales, because they cannot go on land.",they,"Penguins tend to stay on land to avoid killer whales, because",they cannot go on land.,Penguins,killer whales
"Penguins tend to stay on land to avoid killer whales, but they do need to go in the water for food at times.",they,"Penguins tend to stay on land to avoid killer whales, but",they do need to go in the water for food at times.,Penguins,killer whales
The forensic team managed to link the criminals to the crime since they analyzed the blood samples at the crime scene.,they,The forensic team managed to link the criminals to the crime since,they analyzed the blood samples at the crime scene.,The forensic team,the criminals
"The forensic team managed to link the criminals to the crime, so they are now going to go to prison.",they,"The forensic team managed to link the criminals to the crime, so",they are now going to go to prison.,The forensic team,the criminals
Clark Kent hides his identity from Lex Luthor since he wishes to keep his loved ones safe.,he,Clark Kent hides his identity from Lex Luthor since,he wishes to keep his loved ones safe.,Clark Kent,Lex Luthor
Clark Kent hides his identity from Lex Luthor because he wants to find out who this masked hero is.,he,Clark Kent hides his identity from Lex Luthor because,he wants to find out who this masked hero is.,Clark Kent,Lex Luthor
Police sweep bums off the benches of the park since they need to enforce the law of no sleeping in the park overnight.,they,Police sweep bums off the benches of the park since,they need to enforce the law of no sleeping in the park overnight.,Police,bums
Police sweep bums off the benches of the park although they do not have a place to stay and sleep at night.,they,Police sweep bums off the benches of the park although,they do not have a place to stay and sleep at night.,Police,bums
The Swiss bank freezed the accounts of a crime syndicate because they were helping law enforcement catch the criminals.,they,The Swiss bank freezed the accounts of a crime syndicate because,they were helping law enforcement catch the criminals.,The Swiss bank,a crime syndicate
The Swiss bank freezed the accounts of a crime syndicate because they had fraudulent money deposited in their account.,they,The Swiss bank freezed the accounts of a crime syndicate because,they had fraudulent money deposited in their account.,The Swiss bank,a crime syndicate
"Steve Urkel was always annoying Carl Winslow in the show, ""Family Matters"", but he still liked him regardless.",he,"Steve Urkel was always annoying Carl Winslow in the show, ""Family Matters"", but",he still liked him regardless.,Steve Urkel,Carl Winslow
"Steve Urkel was always annoying Carl Winslow in the show, ""Family Matters"", because he is quite annoying by nature.",he,"Steve Urkel was always annoying Carl Winslow in the show, ""Family Matters"", because",he is quite annoying by nature.,Steve Urkel,Carl Winslow
Blackberry alienated a lot of users because they blacked out their service due to technical difficulties.,they,Blackberry alienated a lot of users because,they blacked out their service due to technical difficulties.,Blackberry,a lot of users
Blackberry alienated a lot of users because they were angered by the service being taken down for days.,they,Blackberry alienated a lot of users because,they were angered by the service being taken down for days.,Blackberry,a lot of users
Groupon lied about their earnings to the stakeholders since they wanted to keep the value of the company high.,they,Groupon lied about their earnings to the stakeholders since,they wanted to keep the value of the company high.,Groupon,the stakeholders
"Groupon lied about their earnings to the stakeholders, but they found out about the deception.",they,"Groupon lied about their earnings to the stakeholders, but",they found out about the deception.,Groupon,the stakeholders
NATO forces did precision predator strikes for the Libyan rebels since they had the predator vehicles.,they,NATO forces did precision predator strikes for the Libyan rebels since,they had the predator vehicles.,NATO forces,Libyan rebels
NATO forces did precision predator strikes for the Libyan rebels because they did not have the capabilities themselves.,they,NATO forces did precision predator strikes for the Libyan rebels because,they did not have the capabilities themselves.,NATO forces,Libyan rebels
"Jim Carrey convinced Jeff to travel with him to Aspen, since he wanted to have a travel buddy to visit his girlfriend.",he,"Jim Carrey convinced Jeff to travel with him to Aspen, since",he wanted to have a travel buddy to visit his girlfriend.,Jim Carrey,Jeff
"Jim Carrey convinced Jeff to travel with him to Aspen, since he had wanted to travel to Aspen for a long time.",he,"Jim Carrey convinced Jeff to travel with him to Aspen, since",he had wanted to travel to Aspen for a long time.,Jim Carrey,Jeff
Shawn Jun performed a huge upset over four time champion Leon Sung but he still received a large sum of money for being a runner up.,he,Shawn Jun performed a huge upset over four time champion Leon Sung but,he still received a large sum of money for being a runner up.,Shawn Jun,Leon Sung
Shawn Jun performed a huge upset over four time champion Leon Sung because he has more desire to win.,he,Shawn Jun performed a huge upset over four time champion Leon Sung because,he has more desire to win.,Shawn Jun,Leon Sung
Channel 6 news team gave a play by play coverage of the escaped convicts because they needed to report the news.,they,Channel 6 news team gave a play by play coverage of the escaped convicts because,they needed to report the news.,Channel 6 news team,the escaped convicts
"Channel 6 news team gave a play by play coverage of the escaped convicts, so they had their escape reported to the world.",they,"Channel 6 news team gave a play by play coverage of the escaped convicts, so",they had their escape reported to the world.,Channel 6 news team,the escaped convicts
The preservation society managed to rescue a rare species of birds since they have the funding and resources to dedicate to saving animals.,they,The preservation society managed to rescue a rare species of birds since,they have the funding and resources to dedicate to saving animals.,The preservation society,a rare species of birds
The preservation society managed to rescue a rare species of birds so they will have the chance to survive.,they,The preservation society managed to rescue a rare species of birds so,they will have the chance to survive.,The preservation society,a rare species of birds
"Scrooge was moved by the appearance of Timmy because he felt bad for the crippled, nice boy.",he,Scrooge was moved by the appearance of Timmy because,"he felt bad for the crippled, nice boy.",Scrooge,Timmy
Scrooge was moved by the appearance of Timmy since he has an effect on people due to him being crippled and loving.,he,Scrooge was moved by the appearance of Timmy since,he has an effect on people due to him being crippled and loving.,Scrooge,Timmy
"Butters wanted to steal the movie Spiderman from Kenny, but he did not want to be perceived as a thief.",he,"Butters wanted to steal the movie Spiderman from Kenny, but",he did not want to be perceived as a thief.,Butters,Kenny
Butters wanted to steal the movie Spiderman from Kenny because he would not lend it to him.,he,Butters wanted to steal the movie Spiderman from Kenny because,he would not lend it to him.,Butters,Kenny
Blockbuster increased the time allotted for customers to return videos since they were starting to lose business due to their strict policies.,they,Blockbuster increased the time allotted for customers to return videos since,they were starting to lose business due to their strict policies.,Blockbuster,customers
"Blockbuster increased the time allotted for customers to return videos, so they would not be able to rent videos out quicker now.",they,"Blockbuster increased the time allotted for customers to return videos, so",they would not be able to rent videos out quicker now.,Blockbuster,customers
The ski instructors taught the children the basics of skiing since they are trying to learn.,they,The ski instructors taught the children the basics of skiing since,they are trying to learn.,The ski instructors,the children
The ski instructors taught the children the basics of skiing because they have much experience to share and teach.,they,The ski instructors taught the children the basics of skiing because,they have much experience to share and teach.,The ski instructors,the children
Lucy gave a tutorial on how to install IOS 5 to Cindy because she is not very technologically savvy.,she,Lucy gave a tutorial on how to install IOS 5 to Cindy because,she is not very technologically savvy.,Lucy,Cindy
Lucy gave a tutorial on how to install IOS 5 to Cindy since she is familiar with software upgrades.,she,Lucy gave a tutorial on how to install IOS 5 to Cindy since,she is familiar with software upgrades.,Lucy,Cindy
Samsonite makes luggage which is highly rated by Luggage Ratings Inc. since they make a quality and good looking product.,they,Samsonite makes luggage which is highly rated by Luggage Ratings Inc. since,they make a quality and good looking product.,Samsonite,Luggage Ratings Inc.
Samsonite makes luggage which is highly rated by Luggage Ratings Inc. because they thought the product they rated was highly desirable due to its quality.,they,Samsonite makes luggage which is highly rated by Luggage Ratings Inc. because,they thought the product they rated was highly desirable due to its quality.,Samsonite,Luggage Ratings Inc.
The FBI usually take over the crime scene from the police since they are more qualified in handling these situations.,they,The FBI usually take over the crime scene from the police since,they are more qualified in handling these situations.,The FBI,the police
The FBI usually take over the crime scene from the police because they sometimes need help to investigate the crime.,they,The FBI usually take over the crime scene from the police because,they sometimes need help to investigate the crime.,The FBI,the police
"The NSA sent their agents in the field to retrieve intelligence, but they were not able to gather the intelligence for them.",they,"The NSA sent their agents in the field to retrieve intelligence, but",they were not able to gather the intelligence for them.,The NSA,their agents
The NSA sent their agents in the field to retrieve intelligence because they need people in the field to do the field work.,they,The NSA sent their agents in the field to retrieve intelligence because,they need people in the field to do the field work.,The NSA,their agents
The Mavericks are able to sell much merchandise to fans this season since they are idolized due to their last NBA championship win.,they,The Mavericks are able to sell much merchandise to fans this season since,they are idolized due to their last NBA championship win.,The Mavericks,fans
"The Mavericks are able to sell much merchandise to fans this season, and they just want it since they are the hottest team at the moment.",they,"The Mavericks are able to sell much merchandise to fans this season, and",they just want it since they are the hottest team at the moment.,The Mavericks,fans
Rammstein performed their latest hit single to the masses of Germany since they wanted to perform for this native country first.,they,Rammstein performed their latest hit single to the masses of Germany since,they wanted to perform for this native country first.,Rammstein,the masses of Germany
Rammstein performed their latest hit single to the masses of Germany because they wanted to hear their newest masterpieces.,they,Rammstein performed their latest hit single to the masses of Germany because,they wanted to hear their newest masterpieces.,Rammstein,the masses of Germany
Western Digital may disappoint their shareholders this season since they have slowed down production in their Thailand factories due to flooding.,they,Western Digital may disappoint their shareholders this season since,they have slowed down production in their Thailand factories due to flooding.,Western Digital,their shareholders
"Western Digital may disappoint their shareholders this season, but they will probably tough out the momentary losses and remain shareholders.",they,"Western Digital may disappoint their shareholders this season, but",they will probably tough out the momentary losses and remain shareholders.,Western Digital,their shareholders
"Black Eyed Peas hosted a huge event for the partners of Intel, since they have lots of money to hire them to perform.",they,"Black Eyed Peas hosted a huge event for the partners of Intel, since",they have lots of money to hire them to perform.,Black Eyed Peas,the partners of Intel
Black Eyed Peas hosted a huge event for the partners of Intel while they also perform for many other events.,they,Black Eyed Peas hosted a huge event for the partners of Intel while,they also perform for many other events.,Black Eyed Peas,the partners of Intel
The graduate students spend every waking moment studying for their classes since they offer much knowledge and tests as part of their itinerary.,they,The graduate students spend every waking moment studying for their classes since,they offer much knowledge and tests as part of their itinerary.,The graduate students,their classes
"The graduate students spend every waking moment studying for their classes, but they still need to devote time to friends and family as well.",they,"The graduate students spend every waking moment studying for their classes, but",they still need to devote time to friends and family as well.,The graduate students,their classes
"Santa Claus and his elves distributed millions of presents worldwide to the children of the world, because they wish to reward those who behaved.",they,"Santa Claus and his elves distributed millions of presents worldwide to the children of the world, because",they wish to reward those who behaved.,Santa Claus and his elves,the children of the world
"Santa Claus and his elves distributed millions of presents worldwide to the children of the world, but they do not all believe in them being able to give presents worldwide in a night.",they,"Santa Claus and his elves distributed millions of presents worldwide to the children of the world, but",they do not all believe in them being able to give presents worldwide in a night.,Santa Claus and his elves,the children of the world
The construction company could not rezone the area due to endangered butterflies because they are in danger of being wiped out if their environment is ruined.,they,The construction company could not rezone the area due to endangered butterflies because,they are in danger of being wiped out if their environment is ruined.,The construction company,endangered butterflies
The construction company could not rezone the area due to endangered butterflies since they could not violate state law and endanger a species.,they,The construction company could not rezone the area due to endangered butterflies since,they could not violate state law and endanger a species.,The construction company,endangered butterflies
"Harrison looked into illegal accusations against his partner, Bryan, because he needed to know if these allegations would hurt his business.",he,"Harrison looked into illegal accusations against his partner, Bryan, because",he needed to know if these allegations would hurt his business.,Harrison,Bryan
"Harrison looked into illegal accusations against his partner, Bryan, but he may of been falsely accused.",he,"Harrison looked into illegal accusations against his partner, Bryan, but",he may of been falsely accused.,Harrison,Bryan
UPS provides much convenience to the customers with their drop off service since they make the shipping of packages extremely easy.,they,UPS provides much convenience to the customers with their drop off service since,they make the shipping of packages extremely easy.,UPS,the customers
UPS provides much convenience to the customers with their drop off service so they are encouraged to bring their packages in more often.,they,UPS provides much convenience to the customers with their drop off service so,they are encouraged to bring their packages in more often.,UPS,the customers
The lifeguards evacuated the swimmers from the public pool since they needed to clean the pool.,they,The lifeguards evacuated the swimmers from the public pool since,they needed to clean the pool.,The lifeguards,the swimmers
The lifeguards evacuated the swimmers from the public pool because they were in danger of getting sick from human wastes in the water.,they,The lifeguards evacuated the swimmers from the public pool because,they were in danger of getting sick from human wastes in the water.,The lifeguards,the swimmers
"Will Smith and his new movie is highly anticipated by movie critic, John Billic, because he has thus far been a huge hit.",he,"Will Smith and his new movie is highly anticipated by movie critic, John Billic, because",he has thus far been a huge hit.,Will Smith,John Billic
"Will Smith and his new movie is highly anticipated by movie critic, John Billic, because he felt his role was well played in the previous movies.",he,"Will Smith and his new movie is highly anticipated by movie critic, John Billic, because",he felt his role was well played in the previous movies.,Will Smith,John Billic
The Texas Rangers lost the World Series to the Cardinals because they were outplayed in two of the most important games in the series.,they,The Texas Rangers lost the World Series to the Cardinals because,they were outplayed in two of the most important games in the series.,The Texas Rangers,the Cardinals
The Texas Rangers lost the world series to the Cardinals since they had a stronger desire to win the series.,they,The Texas Rangers lost the world series to the Cardinals since,they had a stronger desire to win the series.,The Texas Rangers,the Cardinals
"Uncharted 3 did not introduce any new ideas since their last game, Uncharted 2, so it ended up getting lukewarm reviews by game critics.",it,"Uncharted 3 did not introduce any new ideas since their last game, Uncharted 2, so",it ended up getting lukewarm reviews by game critics.,Uncharted 3,Uncharted 2
"Uncharted 3 did not introduce any new ideas since their last game, Uncharted 2, but it is still going to be a fun game.",it,"Uncharted 3 did not introduce any new ideas since their last game, Uncharted 2, but",it is still going to be a fun game.,Uncharted 3,Uncharted 2
The Stars did not have many viewers watching the game last Friday since they were all watching the World Series instead.,they,The Stars did not have many viewers watching the game last Friday since,they were all watching the World Series instead.,The Stars,many viewers
The Stars did not have many viewers watching the game last Friday because they were playing at the same time as the World Series.,they,The Stars did not have many viewers watching the game last Friday because,they were playing at the same time as the World Series.,The Stars,many viewers
"Herman Cain has been rising in the polls, causing concern for Rick Perry, since he has been appealing to a wider audience.",he,"Herman Cain has been rising in the polls, causing concern for Rick Perry, since",he has been appealing to a wider audience.,Herman Cain,Rick Perry
"Herman Cain has been rising in the polls, causing concern for Rick Perry, but he does not believe this rise in popularity will sustain.",he,"Herman Cain has been rising in the polls, causing concern for Rick Perry, but",he does not believe this rise in popularity will sustain.,Herman Cain,Rick Perry
"The government has made about 30 percent of the requests for censoring classified materials to Google, but they have not complied with all of them.",they,"The government has made about 30 percent of the requests for censoring classified materials to Google, but",they have not complied with all of them.,The government,Google
"The government has made about 30 percent of the requests for censoring classified materials to Google, because they did not want this information to be widely available to the public.",they,"The government has made about 30 percent of the requests for censoring classified materials to Google, because",they did not want this information to be widely available to the public.,The government,Google
"The United Federation of Worlds attempts to bring civilization and rule to the population of millions of planets, since they need a centralized government to maintain order.",they,"The United Federation of Worlds attempts to bring civilization and rule to the population of millions of planets, since",they need a centralized government to maintain order.,The United Federation of Worlds,the population of millions of planets
"The United Federation of Worlds attempts to bring civilization and rule to the population of millions of planets, because they want to unite the planets under the same rules.",they,"The United Federation of Worlds attempts to bring civilization and rule to the population of millions of planets, because",they want to unite the planets under the same rules.,The United Federation of Worlds,the population of millions of planets
"The peace emissaries arrived to negotiate a peace treaty for the warring population, since they wish to assist in ending the war.",they,"The peace emissaries arrived to negotiate a peace treaty for the warring population, since",they wish to assist in ending the war.,The peace emissaries,the warring population
"The peace emissaries arrived to negotiate a peace treaty for the warring population, but they will be difficult to find common ground for.",they,"The peace emissaries arrived to negotiate a peace treaty for the warring population, but",they will be difficult to find common ground for.,The peace emissaries,the warring population
Technician Stepanic crafted advanced opticals for Leforge since he needed to be able to see well for his duties.,he,Technician Stepanic crafted advanced opticals for Leforge since,he needed to be able to see well for his duties.,Technician Stepanic,Leforge
"Technician Stepanic crafted advanced opticals for Leforge, but he would still prefer to see without such devices.",he,"Technician Stepanic crafted advanced opticals for Leforge, but",he would still prefer to see without such devices.,Technician Stepanic,Leforge
"LA Galaxy is constantly seeking famous players to fill their ranks, because they are trying to obtain high profile players to incite popularity into the team.",they,"LA Galaxy is constantly seeking famous players to fill their ranks, because",they are trying to obtain high profile players to incite popularity into the team.,LA Galaxy,famous players
"LA Galaxy is constantly seeking famous players to fill their ranks, but they are constantly sought after by many teams with offers.",they,"LA Galaxy is constantly seeking famous players to fill their ranks, but",they are constantly sought after by many teams with offers.,LA Galaxy,famous players
"Youtube has paid out over a million dollars to their channel partners, because they are responsible for bringing millions of viewers to watch their videos.",they,"Youtube has paid out over a million dollars to their channel partners, because",they are responsible for bringing millions of viewers to watch their videos.,Youtube,their channel partners
"Youtube has paid out over a million dollars to their channel partners, since they want to reward those who bring more users to their website.",they,"Youtube has paid out over a million dollars to their channel partners, since",they want to reward those who bring more users to their website.,Youtube,their channel partners
"Peter managed to win the lottery and loaned money to Rick, because he has enough money to freely loan to his friends.",he,"Peter managed to win the lottery and loaned money to Rick, because",he has enough money to freely loan to his friends.,Peter,Rick
"Peter managed to win the lottery and loaned money to Rick, but he will pay him back.",he,"Peter managed to win the lottery and loaned money to Rick, but",he will pay him back.,Peter,Rick
"The shipping company harvests lobster for their business, because they receive a high demand for this type of seafood.",they,"The shipping company harvests lobster for their business, because",they receive a high demand for this type of seafood.,The shipping company,lobster
"The shipping company harvests lobster for their business, since they are considered an exquisite meal.",they,"The shipping company harvests lobster for their business, since",they are considered an exquisite meal.,The shipping company,lobster
"Peter Griffin often pokes fun at Chris, so he always ends up being angry.",he,"Peter Griffin often pokes fun at Chris, so",he always ends up being angry.,Peter Griffin,Chris
"Peter Griffin often pokes fun at Chris, because he enjoys doing it.",he,"Peter Griffin often pokes fun at Chris, because",he enjoys doing it.,Peter Griffin,Chris
