Knowledge Base,Question,Option 1,Option 2,Actual Answer,Bit Representation,Opt1,Opt2,Opt1Gender,Opt2Gender
"in july, kamtchatka declared war on yakutsk. since yakutsk's army was much better equipped and ten times larger, they were defeated within weeks. ",what does they refer to? ,they refers to kamchatka ,they refers to yakutsk ,kamchatka ,0 ,kamchatka ,yakutsk ,1 ,1 
"in july, kamtchatka declared war on yakutsk. since yakutsk's army was much better equipped and ten times larger, they were defeated within weeks. ",what were defeated? ,kamchatka were defeated ,yakutsk were defeated ,kamchatka ,0 ,kamchatka ,yakutsk ,1 ,1 
"in july, kamtchatka declared war on yakutsk. since yakutsk's army was much better equipped and ten times larger, they were victorious within weeks. ",what does they refer to? ,they refers to kamchatka ,they refers to yakutsk ,yakutsk ,1 ,kamchatka ,yakutsk ,1 ,1 
"in july, kamtchatka declared war on yakutsk. since yakutsk's army was much better equipped and ten times larger, they were victorious within weeks. ",what were victorious? ,kamchatka were victorious ,yakutsk were victorious ,yakutsk ,1 ,kamchatka ,yakutsk ,1 ,1 
look! there is a minnow swimming right below that duck! it had better get away to safety fast! ,what does it refer to? ,it refers to minnow ,it refers to duck ,minnow ,0 ,minnow ,duck ,1 ,1 
look! there is a minnow swimming right below that duck! it had better get away to safety fast! ,what had better get away? ,minnow had better get away ,duck had better get away ,minnow ,0 ,minnow ,duck ,1 ,1 
look! there is a shark swimming right below that duck! it had better get away to safety fast! ,what does it refer to? ,it refers to shark ,it refers to duck ,duck ,1 ,shark ,duck ,1 ,1 
look! there is a shark swimming right below that duck! it had better get away to safety fast! ,what had better get away? ,shark had better get away ,duck had better get away ,duck ,1 ,shark ,duck ,1 ,1 
"archaeologists have concluded that humans lived in laputa 20,000 years ago. they hunted for evidence on river banks. ",what does they refer to? ,they refers to archaeologists ,they refers to prehistoric humans ,archaeologists ,0 ,archaeologists ,prehistoric humans ,1 ,1 
"archaeologists have concluded that humans lived in laputa 20,000 years ago. they hunted for evidence on river banks. ",what hunted for evidence? ,archaeologists hunted for evidence ,prehistoric humans hunted for evidence ,archaeologists ,0 ,archaeologists ,prehistoric humans ,1 ,1 
"archaeologists have concluded that humans lived in laputa 20,000 years ago. they hunted for deer on river banks. ",what does they refer to? ,they refers to archaeologists ,they refers to prehistoric humans ,prehistoric humans ,1 ,archaeologists ,prehistoric humans ,1 ,1 
"archaeologists have concluded that humans lived in laputa 20,000 years ago. they hunted for deer on river banks. ",what hunted for deer? ,archaeologists hunted for deer ,prehistoric humans hunted for deer ,prehistoric humans ,1 ,archaeologists ,prehistoric humans ,1 ,1 
scientists are studying three species of fish that have recently been found living in indian ocean. they began two years ago. ,what does they refer to? ,they refers to scientists ,they refers to fish ,scientists ,0 ,scientists ,fish ,1 ,1 
scientists are studying three species of fish that have recently been found living in indian ocean. they began two years ago. ,what began two years ago.? ,scientists began two years ago. ,fish began two years ago. ,scientists ,0 ,scientists ,fish ,1 ,1 
scientists are studying three species of fish that have recently been found living in indian ocean. they appeared two years ago. ,what does they refer to? ,they refers to scientists ,they refers to fish ,fish ,1 ,scientists ,fish ,1 ,1 
scientists are studying three species of fish that have recently been found living in indian ocean. they appeared two years ago. ,what appeared two years ago.? ,scientists appeared two years ago. ,fish appeared two years ago. ,fish ,1 ,scientists ,fish ,1 ,1 
"journalists interviewed stars of new movie. they were very persistent, so interview lasted for a long time. ",what does they refer to? ,they refers to journalists ,they refers to stars ,journalists ,0 ,journalists ,stars ,1 ,1 
"journalists interviewed stars of new movie. they were very persistent, so interview lasted for a long time. ",what were very persistent? ,journalists were very persistent ,stars were very persistent ,journalists ,0 ,journalists ,stars ,1 ,1 
"journalists interviewed stars of new movie. they were very cooperative, so interview lasted for a long time. ",what does they refer to? ,they refers to journalists ,they refers to stars ,stars ,1 ,journalists ,stars ,1 ,1 
"journalists interviewed stars of new movie. they were very cooperative, so interview lasted for a long time. ",what were very cooperative? ,journalists were very cooperative ,stars were very cooperative ,stars ,1 ,journalists ,stars ,1 ,1 
police arrested all of gang members. they were trying to stop drug trade in neighborhood. ,what does they refer to? ,they refers to police ,they refers to gang members ,police ,0 ,police ,gang members ,1 ,1 
police arrested all of gang members. they were trying to stop drug trade in neighborhood. ,what were trying to stop drug trade? ,police were trying to stop drug trade ,gang members were trying to stop drug trade ,police ,0 ,police ,gang members ,1 ,1 
police arrested all of gang members. they were trying to run drug trade in neighborhood. ,what does they refer to? ,they refers to police ,they refers to gang members ,gang members ,1 ,police ,gang members ,1 ,1 
police arrested all of gang members. they were trying to run drug trade in neighborhood. ,what were trying to run drug trade? ,police were trying to run drug trade ,gang members were trying to run drug trade ,gang members ,1 ,police ,gang members ,1 ,1 
i put cake away in refrigerator. it has a lot of butter in it. ,what does it refer to? ,it refers to cake ,it refers to refrigerator ,cake ,0 ,cake ,refrigerator ,1 ,1 
i put cake away in refrigerator. it has a lot of butter in it. ,what has a lot of butter? ,cake has a lot of butter ,refrigerator has a lot of butter ,cake ,0 ,cake ,refrigerator ,1 ,1 
i put cake away in refrigerator. it has a lot of leftovers in it. ,what does it refer to? ,it refers to cake ,it refers to refrigerator ,refrigerator ,1 ,cake ,refrigerator ,1 ,1 
i put cake away in refrigerator. it has a lot of leftovers in it. ,what has a lot of leftovers? ,cake has a lot of leftovers ,refrigerator has a lot of leftovers ,refrigerator ,1 ,cake ,refrigerator ,1 ,1 
sam broke both his ankles and he's walking with crutches. but a month or so from now they should be better. ,what does they refer to? ,they refers to ankles ,they refers to crutches ,ankles ,0 ,ankles ,crutches ,1 ,1 
sam broke both his ankles and he's walking with crutches. but a month or so from now they should be better. ,what should be better? ,ankles should be better ,crutches should be better ,ankles ,0 ,ankles ,crutches ,1 ,1 
sam broke both his ankles and he's walking with crutches. but a month or so from now they should be unnecessary. ,what does they refer to? ,they refers to ankles ,they refers to crutches ,crutches ,1 ,ankles ,crutches ,1 ,1 
sam broke both his ankles and he's walking with crutches. but a month or so from now they should be unnecessary. ,what should be unnecessary? ,ankles should be unnecessary ,crutches should be unnecessary ,crutches ,1 ,ankles ,crutches ,1 ,1 
"when sponsors of bill got to town hall, they were surprised to find that room was full of opponents. they were very much in minority. ",what does they refer to? ,they refers to sponsors ,they refers to opponents ,sponsors ,0 ,sponsors ,opponents ,1 ,1 
"when sponsors of bill got to town hall, they were surprised to find that room was full of opponents. they were very much in minority. ",what were very much in minority.? ,sponsors were very much in minority. ,opponents were very much in minority. ,sponsors ,0 ,sponsors ,opponents ,1 ,1 
"when sponsors of bill got to town hall, they were surprised to find that room was full of opponents. they were very much in majority. ",what does they refer to? ,they refers to sponsors ,they refers to opponents ,opponents ,1 ,sponsors ,opponents ,1 ,1 
"when sponsors of bill got to town hall, they were surprised to find that room was full of opponents. they were very much in majority. ",what were very much in majority.? ,sponsors were very much in majority. ,opponents were very much in majority. ,opponents ,1 ,sponsors ,opponents ,1 ,1 
"everyone really loved oatmeal cookies; only a few people liked chocolate chip cookies. next time, we should make more of them. ",what does them refer to? ,them refers to oatmeal cookies ,them refers to chocolate chip cookies ,oatmeal cookies ,0 ,oatmeal cookies ,chocolate chip cookies ,1 ,1 
"everyone really loved oatmeal cookies; only a few people liked chocolate chip cookies. next time, we should make more of them. ",what of them? ,oatmeal cookies of them ,chocolate chip cookies of them ,oatmeal cookies ,0 ,oatmeal cookies ,chocolate chip cookies ,1 ,1 
"everyone really loved oatmeal cookies; only a few people liked chocolate chip cookies. next time, we should make fewer of them. ",what does them refer to? ,them refers to oatmeal cookies ,them refers to chocolate chip cookies ,chocolate chip cookies ,1 ,oatmeal cookies ,chocolate chip cookies ,1 ,1 
"everyone really loved oatmeal cookies; only a few people liked chocolate chip cookies. next time, we should make fewer of them. ",whatr of them? ,oatmeal cookiesr of them ,chocolate chip cookiesr of them ,chocolate chip cookies ,1 ,oatmeal cookies ,chocolate chip cookies ,1 ,1 
"we had hoped to place copies of our newsletter on all chairs in auditorium, but there were simply not enough of them. ",what does them refer to? ,them refers to copies of newsletter ,them refers to chairs ,copies of newsletter ,0 ,copies of newsletter ,chairs ,1 ,1 
"we had hoped to place copies of our newsletter on all chairs in auditorium, but there were simply not enough of them. ",whatenough of them? ,copies of newsletterenough of them ,chairsenough of them ,copies of newsletter ,0 ,copies of newsletter ,chairs ,1 ,1 
"we had hoped to place copies of our newsletter on all chairs in auditorium, but there were simply too many of them. ",what does them refer to? ,them refers to copies of newsletter ,them refers to chairs ,chairs ,1 ,copies of newsletter ,chairs ,1 ,1 
"we had hoped to place copies of our newsletter on all chairs in auditorium, but there were simply too many of them. ",whatmany of them? ,copies of newslettermany of them ,chairsmany of them ,chairs ,1 ,copies of newsletter ,chairs ,1 ,1 
"i stuck a pin through a carrot. when i pulled pin out, it left a hole. ",what does it refer to? ,it refers to pin ,it refers to carrot ,pin ,0 ,pin ,carrot ,1 ,1 
"i stuck a pin through a carrot. when i pulled pin out, it left a hole. ",what left a hole? ,pin left a hole ,carrot left a hole ,pin ,0 ,pin ,carrot ,1 ,1 
"i stuck a pin through a carrot. when i pulled pin out, it had a hole. ",what does it refer to? ,it refers to pin ,it refers to carrot ,carrot ,1 ,pin ,carrot ,1 ,1 
"i stuck a pin through a carrot. when i pulled pin out, it had a hole. ",what had a hole? ,pin had a hole ,carrot had a hole ,carrot ,1 ,pin ,carrot ,1 ,1 
"i couldn't find a spoon, so i tried using a pen to stir my coffee. but that turned out to be a bad idea, because it got full of coffee. ",what does it refer to? ,it refers to pen ,it refers to coffee ,pen ,0 ,pen ,coffee ,1 ,1 
"i couldn't find a spoon, so i tried using a pen to stir my coffee. but that turned out to be a bad idea, because it got full of coffee. ",what got full of coffee.? ,pen got full of coffee. ,coffee got full of coffee. ,pen ,0 ,pen ,coffee ,1 ,1 
"i couldn't find a spoon, so i tried using a pen to stir my coffee. but that turned out to be a bad idea, because it got full of ink. ",what does it refer to? ,it refers to pen ,it refers to coffee ,coffee ,1 ,pen ,coffee ,1 ,1 
"i couldn't find a spoon, so i tried using a pen to stir my coffee. but that turned out to be a bad idea, because it got full of ink. ",what got full of ink.? ,pen got full of ink. ,coffee got full of ink. ,coffee ,1 ,pen ,coffee ,1 ,1 
steve follows fred's example in everything. he admires him hugely. ,what does him refer to? ,him refers to steve ,him refers to fred ,steve ,0 ,steve ,fred ,0 ,1 
steve follows fred's example in everything. he admires him hugely. ,whatadmires him hugely.? ,steveadmires him hugely. ,fredadmires him hugely. ,steve ,0 ,steve ,fred ,0 ,1 
steve follows fred's example in everything. he influences him hugely. ,what does him refer to? ,him refers to steve ,him refers to fred ,fred ,1 ,steve ,fred ,0 ,1 
steve follows fred's example in everything. he influences him hugely. ,whatinfluences him hugely.? ,steveinfluences him hugely. ,fredinfluences him hugely. ,fred ,1 ,steve ,fred ,0 ,1 
table won't fit through doorway because it is too wide. ,what does it refer to? ,it refers to table ,it refers to doorway ,table ,0 ,table ,doorway ,1 ,1 
table won't fit through doorway because it is too wide. ,what is too wide.? ,table is too wide. ,doorway is too wide. ,table ,0 ,table ,doorway ,1 ,1 
table won't fit through doorway because it is too narrow. ,what does it refer to? ,it refers to table ,it refers to doorway ,doorway ,1 ,table ,doorway ,1 ,1 
table won't fit through doorway because it is too narrow. ,what is too narrow.? ,table is too narrow. ,doorway is too narrow. ,doorway ,1 ,table ,doorway ,1 ,1 
grace was happy to trade me her sweater for my jacket. she thinks it looks dowdy on her. ,what does her refer to? ,her refers to sweater ,her refers to jacket ,sweater ,0 ,sweater ,jacket ,1 ,1 
grace was happy to trade me her sweater for my jacket. she thinks it looks dowdy on her. ,whatlooks dowdy on her.? ,sweaterlooks dowdy on her. ,jacketlooks dowdy on her. ,sweater ,0 ,sweater ,jacket ,1 ,1 
grace was happy to trade me her sweater for my jacket. she thinks it looks great on her. ,what does her refer to? ,her refers to sweater ,her refers to jacket ,jacket ,1 ,sweater ,jacket ,1 ,1 
grace was happy to trade me her sweater for my jacket. she thinks it looks great on her. ,whatlooks great on her.? ,sweaterlooks great on her. ,jacketlooks great on her. ,jacket ,1 ,sweater ,jacket ,1 ,1 
john hired bill to take care of him. ,what does him refer to? ,him refers to john ,him refers to bill ,john ,0 ,john ,bill ,0 ,1 
john hired bill to take care of him. ,whate care of him? ,johne care of him ,bille care of him ,john ,0 ,john ,bill ,0 ,1 
john hired himself out to bill to take care of him. ,what does him refer to? ,him refers to john ,him refers to bill ,bill ,1 ,john ,bill ,0 ,1 
john hired himself out to bill to take care of him. ,whate care of him? ,johne care of him ,bille care of him ,bill ,1 ,john ,bill ,0 ,1 
"john promised bill to leave, so an hour later he left. ",what does he refer to? ,he refers to john ,he refers to bill ,john ,0 ,john ,bill ,0 ,1 
"john promised bill to leave, so an hour later he left. ",what left? ,john left ,bill left ,john ,0 ,john ,bill ,0 ,1 
"john ordered bill to leave, so an hour later he left. ",what does he refer to? ,he refers to john ,he refers to bill ,bill ,1 ,john ,bill ,0 ,1 
"john ordered bill to leave, so an hour later he left. ",what left? ,john left ,bill left ,bill ,1 ,john ,bill ,0 ,1 
sam goodman's biography of spartan general xenophanes conveys a vivid sense of difficulties he faced in his research. ,what does he refer to? ,he refers to goodman ,he refers to xenophanes ,goodman ,0 ,goodman ,xenophanes ,1 ,1 
sam goodman's biography of spartan general xenophanes conveys a vivid sense of difficulties he faced in his research. ,whatfficulties he faced? ,goodmanfficulties he faced ,xenophanesfficulties he faced ,goodman ,0 ,goodman ,xenophanes ,1 ,1 
sam goodman's biography of spartan general xenophanes conveys a vivid sense of difficulties he faced in his childhood. ,what does he refer to? ,he refers to goodman ,he refers to xenophanes ,xenophanes ,1 ,goodman ,xenophanes ,1 ,1 
sam goodman's biography of spartan general xenophanes conveys a vivid sense of difficulties he faced in his childhood. ,whatfficulties he faced? ,goodmanfficulties he faced ,xenophanesfficulties he faced ,xenophanes ,1 ,goodman ,xenophanes ,1 ,1 
"emma's mother had died long ago, and her education had been managed by an excellent woman as governess. ",what does her refer to? ,her refers to emma ,her refers to emma's mother ,emma ,0 ,emma ,emma's mother ,1 ,1 
"emma's mother had died long ago, and her education had been managed by an excellent woman as governess. ",what education? ,emma education ,emma's mother education ,emma ,0 ,emma ,emma's mother ,1 ,1 
"emma's mother had died long ago, and her place had been taken by an excellent woman as governess. ",what does her refer to? ,her refers to emma ,her refers to emma's mother ,emma's mother ,1 ,emma ,emma's mother ,1 ,1 
"emma's mother had died long ago, and her place had been taken by an excellent woman as governess. ",what place? ,emma place ,emma's mother place ,emma's mother ,1 ,emma ,emma's mother ,1 ,1 
jane knocked on susan's door but she did not get an answer. ,what does she refer to? ,she refers to jane ,she refers to susan ,jane ,0 ,jane ,susan ,1 ,1 
jane knocked on susan's door but she did not get an answer. ,what did not get an answer.? ,jane did not get an answer. ,susan did not get an answer. ,jane ,0 ,jane ,susan ,1 ,1 
jane knocked on susan's door but she did not answer. ,what does she refer to? ,she refers to jane ,she refers to susan ,susan ,1 ,jane ,susan ,1 ,1 
jane knocked on susan's door but she did not answer. ,what did not answer.? ,jane did not answer. ,susan did not answer. ,susan ,1 ,jane ,susan ,1 ,1 
joe paid detective after he received final report on case. ,what does he refer to? ,he refers to joe ,he refers to detective ,joe ,0 ,joe ,detective ,0 ,1 
joe paid detective after he received final report on case. ,what received final report? ,joe received final report ,detective received final report ,joe ,0 ,joe ,detective ,0 ,1 
joe paid detective after he delivered final report on case. ,what does he refer to? ,he refers to joe ,he refers to detective ,detective ,1 ,joe ,detective ,0 ,1 
joe paid detective after he delivered final report on case. ,what delivered final report? ,joe delivered final report ,detective delivered final report ,detective ,1 ,joe ,detective ,0 ,1 
"beth didn't get angry with sally, who had cut her off, because she stopped and counted to ten. ",what does she refer to? ,she refers to beth ,she refers to sally ,beth ,0 ,beth ,sally ,1 ,1 
"beth didn't get angry with sally, who had cut her off, because she stopped and counted to ten. ",what stopped? ,beth stopped ,sally stopped ,beth ,0 ,beth ,sally ,1 ,1 
"beth didn't get angry with sally, who had cut her off, because she stopped and apologized. ",what does she refer to? ,she refers to beth ,she refers to sally ,sally ,1 ,beth ,sally ,1 ,1 
"beth didn't get angry with sally, who had cut her off, because she stopped and apologized. ",what stopped? ,beth stopped ,sally stopped ,sally ,1 ,beth ,sally ,1 ,1 
jim signaled barman and gestured toward his empty glass ,what does his refer to? ,his refers to jim ,his refers to barman ,jim ,0 ,jim ,barman ,0 ,1 
jim signaled barman and gestured toward his empty glass ,what empty glass? ,jim empty glass ,barman empty glass ,jim ,0 ,jim ,barman ,0 ,1 
jim signaled barman and gestured toward his bathroom key. ,what does his refer to? ,his refers to jim ,his refers to barman ,barman ,1 ,jim ,barman ,0 ,1 
jim signaled barman and gestured toward his bathroom key. ,what bathroom key? ,jim bathroom key ,barman bathroom key ,barman ,1 ,jim ,barman ,0 ,1 
"dan took rear seat while bill claimed front because his ""dibs!"" was slow. ",what does his refer to? ,his refers to dan ,his refers to bill ,dan ,0 ,dan ,bill ,0 ,1 
"dan took rear seat while bill claimed front because his ""dibs!"" was slow. ","what ""dibs!""? ","dan ""dibs!"" ","bill ""dibs!"" ",dan ,0 ,dan ,bill ,0 ,1 
"dan took rear seat while bill claimed front because his ""dibs!"" was quicker. ",what does his refer to? ,his refers to dan ,his refers to bill ,bill ,1 ,dan ,bill ,0 ,1 
"dan took rear seat while bill claimed front because his ""dibs!"" was quicker. ","what ""dibs!""? ","dan ""dibs!"" ","bill ""dibs!"" ",bill ,1 ,dan ,bill ,0 ,1 
"tom said ""check"" to ralph as he moved his bishop. ",what does his refer to? ,his refers to tom ,his refers to ralph ,tom ,0 ,tom ,ralph ,0 ,0 
"tom said ""check"" to ralph as he moved his bishop. ",what bishop? ,tom bishop ,ralph bishop ,tom ,0 ,tom ,ralph ,0 ,0 
"tom said ""check"" to ralph as he took his bishop. ",what does his refer to? ,his refers to tom ,his refers to ralph ,ralph ,1 ,tom ,ralph ,0 ,0 
"tom said ""check"" to ralph as he took his bishop. ",what bishop? ,tom bishop ,ralph bishop ,ralph ,1 ,tom ,ralph ,0 ,0 
"as andrea in crop duster passed over susan, she could see landing strip. ",what does she refer to? ,she refers to andrea ,she refers to susan ,andrea ,0 ,andrea ,susan ,1 ,1 
"as andrea in crop duster passed over susan, she could see landing strip. ",what could see? ,andrea could see ,susan could see ,andrea ,0 ,andrea ,susan ,1 ,1 
"as andrea in crop duster passed over susan, she could see landing gear. ",what does she refer to? ,she refers to andrea ,she refers to susan ,susan ,1 ,andrea ,susan ,1 ,1 
"as andrea in crop duster passed over susan, she could see landing gear. ",what could see? ,andrea could see ,susan could see ,susan ,1 ,andrea ,susan ,1 ,1 
tom gave ralph a lift to school so he wouldn't have to drive alone. ,what does he refer to? ,he refers to tom ,he refers to ralph ,tom ,0 ,tom ,ralph ,0 ,0 
tom gave ralph a lift to school so he wouldn't have to drive alone. ,what wouldn't have to drive alone.? ,tom wouldn't have to drive alone. ,ralph wouldn't have to drive alone. ,tom ,0 ,tom ,ralph ,0 ,0 
tom gave ralph a lift to school so he wouldn't have to walk. ,what does he refer to? ,he refers to tom ,he refers to ralph ,ralph ,1 ,tom ,ralph ,0 ,0 
tom gave ralph a lift to school so he wouldn't have to walk. ,what wouldn't have to walk.? ,tom wouldn't have to walk. ,ralph wouldn't have to walk. ,ralph ,1 ,tom ,ralph ,0 ,0 
bill passed half-empty plate to john because he was full. ,what does he refer to? ,he refers to bill ,he refers to john ,bill ,0 ,bill ,john ,1 ,0 
bill passed half-empty plate to john because he was full. ,what was full.? ,bill was full. ,john was full. ,bill ,0 ,bill ,john ,1 ,0 
bill passed half-empty plate to john because he was hungry. ,what does he refer to? ,he refers to bill ,he refers to john ,john ,1 ,bill ,john ,1 ,0 
bill passed half-empty plate to john because he was hungry. ,what was hungry? ,bill was hungry ,john was hungry ,john ,1 ,bill ,john ,1 ,0 
bill passed gameboy to john because his turn was over. ,what does his refer to? ,his refers to bill ,his refers to john ,bill ,0 ,bill ,john ,1 ,0 
bill passed gameboy to john because his turn was over. ,what turn? ,bill turn ,john turn ,bill ,0 ,bill ,john ,1 ,0 
bill passed gameboy to john because his turn was next. ,what does his refer to? ,his refers to bill ,his refers to john ,john ,1 ,bill ,john ,1 ,0 
bill passed gameboy to john because his turn was next. ,what turn? ,bill turn ,john turn ,john ,1 ,bill ,john ,1 ,0 
man lifted boy onto his shoulders. ,what does his refer to? ,his refers to man ,his refers to boy ,man ,0 ,man ,boy ,1 ,1 
man lifted boy onto his shoulders. ,what shoulders? ,man shoulders ,boy shoulders ,man ,0 ,man ,boy ,1 ,1 
man lifted boy onto his bunk bed. ,what does his refer to? ,his refers to man ,his refers to boy ,boy ,1 ,man ,boy ,1 ,1 
man lifted boy onto his bunk bed. ,what bunk bed.? ,man bunk bed. ,boy bunk bed. ,boy ,1 ,man ,boy ,1 ,1 
"stretching her back, woman smiled at girl. ",what does her refer to? ,her refers to woman ,her refers to girl ,woman ,0 ,woman ,girl ,1 ,1 
"stretching her back, woman smiled at girl. ",what back? ,woman back ,girl back ,woman ,0 ,woman ,girl ,1 ,1 
"patting her back, woman smiled at girl. ",what does her refer to? ,her refers to woman ,her refers to girl ,girl ,1 ,woman ,girl ,1 ,1 
"patting her back, woman smiled at girl. ",what back? ,woman back ,girl back ,girl ,1 ,woman ,girl ,1 ,1 
billy cried because toby wouldn't accept his toy. ,what does his refer to? ,his refers to billy ,his refers to toby ,billy ,0 ,billy ,toby ,1 ,1 
billy cried because toby wouldn't accept his toy. ,what toy? ,billy toy ,toby toy ,billy ,0 ,billy ,toby ,1 ,1 
billy cried because toby wouldn't share his toy. ,what does his refer to? ,his refers to billy ,his refers to toby ,toby ,1 ,billy ,toby ,1 ,1 
billy cried because toby wouldn't share his toy. ,what toy? ,billy toy ,toby toy ,toby ,1 ,billy ,toby ,1 ,1 
"lily spoke to donna, breaking her silence. ",what does her refer to? ,her refers to lily ,her refers to donna ,lily ,0 ,lily ,donna ,1 ,1 
"lily spoke to donna, breaking her silence. ",what silence.? ,lily silence. ,donna silence. ,lily ,0 ,lily ,donna ,1 ,1 
"lily spoke to donna, breaking her concentration. ",what does her refer to? ,her refers to lily ,her refers to donna ,donna ,1 ,lily ,donna ,1 ,1 
"lily spoke to donna, breaking her concentration. ",what concentration.? ,lily concentration. ,donna concentration. ,donna ,1 ,lily ,donna ,1 ,1 
"when tommy dropped his ice cream, timmy giggled, so father gave him a sympathetic look. ",what does him refer to? ,him refers to tommy ,him refers to timmy ,tommy ,0 ,tommy ,timmy ,1 ,1 
"when tommy dropped his ice cream, timmy giggled, so father gave him a sympathetic look. ",whate him? ,tommye him ,timmye him ,tommy ,0 ,tommy ,timmy ,1 ,1 
"when tommy dropped his ice cream, timmy giggled, so father gave him a stern look. ",what does him refer to? ,him refers to tommy ,him refers to timmy ,timmy ,1 ,tommy ,timmy ,1 ,1 
"when tommy dropped his ice cream, timmy giggled, so father gave him a stern look. ",whate him? ,tommye him ,timmye him ,timmy ,1 ,tommy ,timmy ,1 ,1 
"as ollie carried tommy up long winding steps, his legs ached. ",what does his refer to? ,his refers to ollie ,his refers to tommy ,ollie ,0 ,ollie ,tommy ,1 ,1 
"as ollie carried tommy up long winding steps, his legs ached. ",what legs ached.? ,ollie legs ached. ,tommy legs ached. ,ollie ,0 ,ollie ,tommy ,1 ,1 
"as ollie carried tommy up long winding steps, his legs dangled. ",what does his refer to? ,his refers to ollie ,his refers to tommy ,tommy ,1 ,ollie ,tommy ,1 ,1 
"as ollie carried tommy up long winding steps, his legs dangled. ",what legs dangled.? ,ollie legs dangled. ,tommy legs dangled. ,tommy ,1 ,ollie ,tommy ,1 ,1 
father carried sleeping boy in his arms ,what does his refer to? ,his refers to father ,his refers to boy ,father ,0 ,father ,boy ,1 ,1 
father carried sleeping boy in his arms ,what arms? ,father arms ,boy arms ,father ,0 ,father ,boy ,1 ,1 
father carried sleeping boy in his bassinet. ,what does his refer to? ,his refers to father ,his refers to boy ,boy ,1 ,father ,boy ,1 ,1 
father carried sleeping boy in his bassinet. ,what bassinet.? ,father bassinet. ,boy bassinet. ,boy ,1 ,father ,boy ,1 ,1 
woman held girl against her chest. ,what does her refer to? ,her refers to woman ,her refers to girl ,woman ,0 ,woman ,girl ,1 ,1 
woman held girl against her chest. ,what chest.? ,woman chest. ,girl chest. ,woman ,0 ,woman ,girl ,1 ,1 
woman held girl against her will. ,what does her refer to? ,her refers to woman ,her refers to girl ,girl ,1 ,woman ,girl ,1 ,1 
woman held girl against her will. ,what will? ,woman will ,girl will ,girl ,1 ,woman ,girl ,1 ,1 
"pam's parents came home and found her having sex with her boyfriend, paul. they were furious about it. ",what does they refer to? ,they refers to pam's parents ,they refers to pam and paul ,pam's parents ,0 ,pam's parents ,pam and paul ,1 ,1 
"pam's parents came home and found her having sex with her boyfriend, paul. they were furious about it. ",what were furious? ,pam's parents were furious ,pam and paul were furious ,pam's parents ,0 ,pam's parents ,pam and paul ,1 ,1 
"pam's parents came home and found her having sex with her boyfriend, paul. they were embarrassed about it. ",what does they refer to? ,they refers to pam's parents ,they refers to pam and paul ,pam and paul ,1 ,pam's parents ,pam and paul ,1 ,1 
"pam's parents came home and found her having sex with her boyfriend, paul. they were embarrassed about it. ",what were embarrassed? ,pam's parents were embarrassed ,pam and paul were embarrassed ,pam and paul ,1 ,pam's parents ,pam and paul ,1 ,1 
dr. adams informed kate that she had retired and presented several options for future treatment. ,what does she refer to? ,she refers to dr. adams ,she refers to kate ,dr. adams ,0 ,dr. adams ,kate ,1 ,1 
dr. adams informed kate that she had retired and presented several options for future treatment. ,what had retired? ,dr. adams had retired ,kate had retired ,dr. adams ,0 ,dr. adams ,kate ,1 ,1 
dr. adams informed kate that she had cancer and presented several options for future treatment. ,what does she refer to? ,she refers to dr. adams ,she refers to kate ,kate ,1 ,dr. adams ,kate ,1 ,1 
dr. adams informed kate that she had cancer and presented several options for future treatment. ,what had cancer? ,dr. adams had cancer ,kate had cancer ,kate ,1 ,dr. adams ,kate ,1 ,1 
dan had to stop bill from toying with injured bird. he is very compassionate. ,what does he refer to? ,he refers to dan ,he refers to bill ,dan ,0 ,dan ,bill ,0 ,1 
dan had to stop bill from toying with injured bird. he is very compassionate. ,what is very compassionate.? ,dan is very compassionate. ,bill is very compassionate. ,dan ,0 ,dan ,bill ,0 ,1 
dan had to stop bill from toying with injured bird. he is very cruel. ,what does he refer to? ,he refers to dan ,he refers to bill ,bill ,1 ,dan ,bill ,0 ,1 
dan had to stop bill from toying with injured bird. he is very cruel. ,what is very cruel.? ,dan is very cruel. ,bill is very cruel. ,bill ,1 ,dan ,bill ,0 ,1 
"george got free tickets to play, but he gave them to eric, even though he was particularly eager to see it. ",what does he refer to? ,he refers to george ,he refers to eric ,george ,0 ,george ,eric ,1 ,0 
"george got free tickets to play, but he gave them to eric, even though he was particularly eager to see it. ",what was particularly eager? ,george was particularly eager ,eric was particularly eager ,george ,0 ,george ,eric ,1 ,0 
"george got free tickets to play, but he gave them to eric, because he was particularly eager to see it. ",what does he refer to? ,he refers to george ,he refers to eric ,eric ,1 ,george ,eric ,1 ,0 
"george got free tickets to play, but he gave them to eric, because he was particularly eager to see it. ",what was particularly eager? ,george was particularly eager ,eric was particularly eager ,eric ,1 ,george ,eric ,1 ,0 
"george got free tickets to play, but he gave them to eric, because he was not particularly eager to see it. ",what does he refer to? ,he refers to george ,he refers to eric ,george ,0 ,george ,eric ,1 ,0 
"george got free tickets to play, but he gave them to eric, because he was not particularly eager to see it. ",what was not particularly eager? ,george was not particularly eager ,eric was not particularly eager ,george ,0 ,george ,eric ,1 ,0 
jane gave joan candy because she wasn't hungry. ,what does she refer to? ,she refers to jane ,she refers to joan ,jane ,0 ,jane ,joan ,1 ,1 
jane gave joan candy because she wasn't hungry. ,what wasn't hungry.? ,jane wasn't hungry. ,joan wasn't hungry. ,jane ,0 ,jane ,joan ,1 ,1 
